,g12_state,g3_state,tw_state,d_state,demand_met,probability
0,0,0,0,0,True,0.4028486136088777
1,0,0,0,1,True,0.13428287120295923
2,0,0,0,2,True,0.13428287120295923
3,0,0,0,3,True,0.13428287120295926
4,0,0,1,0,True,0.004517458485161287
5,0,0,1,1,True,0.0015058194950537623
6,0,0,1,2,False,0.0015058194950537623
7,0,0,1,3,True,0.0015058194950537626
8,0,0,2,0,True,0.004517458485161287
9,0,0,2,1,True,0.0015058194950537623
10,0,0,2,2,False,0.0015058194950537623
11,0,0,2,3,True,0.0015058194950537626
12,0,0,3,0,True,7.737280528733111e-05
13,0,0,3,1,False,2.5790935095777037e-05
14,0,0,3,2,False,2.5790935095777037e-05
15,0,0,3,3,False,2.579093509577704e-05
16,0,0,4,0,True,0.03609248279850039
17,0,0,4,1,True,0.012030827599500131
18,0,0,4,2,True,0.012030827599500131
19,0,0,4,3,True,0.012030827599500133
20,0,0,5,0,True,0.002457641438070508
21,0,0,5,1,True,0.0008192138126901692
22,0,0,5,2,False,0.0008192138126901692
23,0,0,5,3,True,0.0008192138126901693
24,0,0,6,0,True,0.002457641438070508
25,0,0,6,1,True,0.0008192138126901692
26,0,0,6,2,False,0.0008192138126901692
27,0,0,6,3,True,0.0008192138126901693
28,0,0,7,0,True,0.00018832466380733893
29,0,0,7,1,False,6.277488793577964e-05
30,0,0,7,2,False,6.277488793577964e-05
31,0,0,7,3,False,6.277488793577965e-05
32,0,1,0,0,True,0.013428287120295925
33,0,1,0,1,True,0.004476095706765308
34,0,1,0,2,False,0.004476095706765308
35,0,1,0,3,True,0.004476095706765309
36,0,1,1,0,True,0.00015058194950537626
37,0,1,1,1,False,5.0193983168458754e-05
38,0,1,1,2,False,5.0193983168458754e-05
39,0,1,1,3,False,5.019398316845876e-05
40,0,1,2,0,True,0.00015058194950537626
41,0,1,2,1,False,5.0193983168458754e-05
42,0,1,2,2,False,5.0193983168458754e-05
43,0,1,2,3,False,5.019398316845876e-05
44,0,1,3,0,False,2.579093509577704e-06
45,0,1,3,1,False,8.596978365259014e-07
46,0,1,3,2,False,8.596978365259014e-07
47,0,1,3,3,False,8.596978365259015e-07
48,0,1,4,0,True,0.0012030827599500131
49,0,1,4,1,True,0.0004010275866500044
50,0,1,4,2,False,0.0004010275866500044
51,0,1,4,3,True,0.00040102758665000443
52,0,1,5,0,True,8.192138126901693e-05
53,0,1,5,1,False,2.730712708967231e-05
54,0,1,5,2,False,2.730712708967231e-05
55,0,1,5,3,False,2.7307127089672314e-05
56,0,1,6,0,True,8.192138126901693e-05
57,0,1,6,1,False,2.730712708967231e-05
58,0,1,6,2,False,2.730712708967231e-05
59,0,1,6,3,False,2.7307127089672314e-05
60,0,1,7,0,False,6.277488793577964e-06
61,0,1,7,1,False,2.092496264525988e-06
62,0,1,7,2,False,2.092496264525988e-06
63,0,1,7,3,False,2.0924962645259883e-06
64,1,0,0,0,True,0.013428287120295927
65,1,0,0,1,True,0.004476095706765309
66,1,0,0,2,False,0.004476095706765309
67,1,0,0,3,True,0.00447609570676531
68,1,0,1,0,True,0.0001505819495053763
69,1,0,1,1,True,5.019398316845876e-05
70,1,0,1,2,False,5.019398316845876e-05
71,1,0,1,3,True,5.019398316845877e-05
72,1,0,2,0,True,0.0001505819495053763
73,1,0,2,1,True,5.019398316845876e-05
74,1,0,2,2,False,5.019398316845876e-05
75,1,0,2,3,True,5.019398316845877e-05
76,1,0,3,0,True,2.579093509577704e-06
77,1,0,3,1,False,8.596978365259014e-07
78,1,0,3,2,False,8.596978365259014e-07
79,1,0,3,3,False,8.596978365259015e-07
80,1,0,4,0,True,0.0012030827599500134
81,1,0,4,1,True,0.00040102758665000443
82,1,0,4,2,False,0.00040102758665000443
83,1,0,4,3,True,0.0004010275866500045
84,1,0,5,0,True,8.192138126901695e-05
85,1,0,5,1,True,2.7307127089672314e-05
86,1,0,5,2,False,2.7307127089672314e-05
87,1,0,5,3,True,2.7307127089672317e-05
88,1,0,6,0,True,8.192138126901695e-05
89,1,0,6,1,True,2.7307127089672314e-05
90,1,0,6,2,False,2.7307127089672314e-05
91,1,0,6,3,True,2.7307127089672317e-05
92,1,0,7,0,True,6.277488793577965e-06
93,1,0,7,1,False,2.0924962645259883e-06
94,1,0,7,2,False,2.0924962645259883e-06
95,1,0,7,3,False,2.0924962645259887e-06
96,1,1,0,0,True,0.00044760957067653084
97,1,1,0,1,False,0.00014920319022551027
98,1,1,0,2,False,0.00014920319022551027
99,1,1,0,3,False,0.0001492031902255103
100,1,1,1,0,True,5.019398316845876e-06
101,1,1,1,1,False,1.6731327722819586e-06
102,1,1,1,2,False,1.6731327722819586e-06
103,1,1,1,3,False,1.6731327722819588e-06
104,1,1,2,0,True,5.019398316845876e-06
105,1,1,2,1,False,1.6731327722819586e-06
106,1,1,2,2,False,1.6731327722819586e-06
107,1,1,2,3,False,1.6731327722819588e-06
108,1,1,3,0,False,8.596978365259014e-08
109,1,1,3,1,False,2.865659455086338e-08
110,1,1,3,2,False,2.865659455086338e-08
111,1,1,3,3,False,2.8656594550863383e-08
112,1,1,4,0,True,4.010275866500045e-05
113,1,1,4,1,False,1.3367586221666815e-05
114,1,1,4,2,False,1.3367586221666815e-05
115,1,1,4,3,False,1.3367586221666817e-05
116,1,1,5,0,True,2.7307127089672315e-06
117,1,1,5,1,False,9.102375696557438e-07
118,1,1,5,2,False,9.102375696557438e-07
119,1,1,5,3,False,9.102375696557439e-07
120,1,1,6,0,True,2.7307127089672315e-06
121,1,1,6,1,False,9.102375696557438e-07
122,1,1,6,2,False,9.102375696557438e-07
123,1,1,6,3,False,9.102375696557439e-07
124,1,1,7,0,False,2.0924962645259884e-07
125,1,1,7,1,False,6.97498754841996e-08
126,1,1,7,2,False,6.97498754841996e-08
127,1,1,7,3,False,6.974987548419962e-08
128,2,0,0,0,True,0.013428287120295927
129,2,0,0,1,True,0.004476095706765309
130,2,0,0,2,False,0.004476095706765309
131,2,0,0,3,True,0.00447609570676531
132,2,0,1,0,True,0.0001505819495053763
133,2,0,1,1,True,5.019398316845876e-05
134,2,0,1,2,False,5.019398316845876e-05
135,2,0,1,3,True,5.019398316845877e-05
136,2,0,2,0,True,0.0001505819495053763
137,2,0,2,1,True,5.019398316845876e-05
138,2,0,2,2,False,5.019398316845876e-05
139,2,0,2,3,True,5.019398316845877e-05
140,2,0,3,0,True,2.579093509577704e-06
141,2,0,3,1,False,8.596978365259014e-07
142,2,0,3,2,False,8.596978365259014e-07
143,2,0,3,3,False,8.596978365259015e-07
144,2,0,4,0,True,0.0012030827599500134
145,2,0,4,1,True,0.00040102758665000443
146,2,0,4,2,False,0.00040102758665000443
147,2,0,4,3,True,0.0004010275866500045
148,2,0,5,0,True,8.192138126901695e-05
149,2,0,5,1,True,2.7307127089672314e-05
150,2,0,5,2,False,2.7307127089672314e-05
151,2,0,5,3,True,2.7307127089672317e-05
152,2,0,6,0,True,8.192138126901695e-05
153,2,0,6,1,True,2.7307127089672314e-05
154,2,0,6,2,False,2.7307127089672314e-05
155,2,0,6,3,True,2.7307127089672317e-05
156,2,0,7,0,True,6.277488793577965e-06
157,2,0,7,1,False,2.0924962645259883e-06
158,2,0,7,2,False,2.0924962645259883e-06
159,2,0,7,3,False,2.0924962645259887e-06
160,2,1,0,0,True,0.00044760957067653084
161,2,1,0,1,False,0.00014920319022551027
162,2,1,0,2,False,0.00014920319022551027
163,2,1,0,3,False,0.0001492031902255103
164,2,1,1,0,True,5.019398316845876e-06
165,2,1,1,1,False,1.6731327722819586e-06
166,2,1,1,2,False,1.6731327722819586e-06
167,2,1,1,3,False,1.6731327722819588e-06
168,2,1,2,0,True,5.019398316845876e-06
169,2,1,2,1,False,1.6731327722819586e-06
170,2,1,2,2,False,1.6731327722819586e-06
171,2,1,2,3,False,1.6731327722819588e-06
172,2,1,3,0,False,8.596978365259014e-08
173,2,1,3,1,False,2.865659455086338e-08
174,2,1,3,2,False,2.865659455086338e-08
175,2,1,3,3,False,2.8656594550863383e-08
176,2,1,4,0,True,4.010275866500045e-05
177,2,1,4,1,False,1.3367586221666815e-05
178,2,1,4,2,False,1.3367586221666815e-05
179,2,1,4,3,False,1.3367586221666817e-05
180,2,1,5,0,True,2.7307127089672315e-06
181,2,1,5,1,False,9.102375696557438e-07
182,2,1,5,2,False,9.102375696557438e-07
183,2,1,5,3,False,9.102375696557439e-07
184,2,1,6,0,True,2.7307127089672315e-06
185,2,1,6,1,False,9.102375696557438e-07
186,2,1,6,2,False,9.102375696557438e-07
187,2,1,6,3,False,9.102375696557439e-07
188,2,1,7,0,False,2.0924962645259884e-07
189,2,1,7,1,False,6.97498754841996e-08
190,2,1,7,2,False,6.97498754841996e-08
191,2,1,7,3,False,6.974987548419962e-08
192,3,0,0,0,True,0.0004476095706765308
193,3,0,0,1,False,0.00014920319022551024
194,3,0,0,2,False,0.00014920319022551024
195,3,0,0,3,False,0.00014920319022551027
196,3,0,1,0,True,5.019398316845875e-06
197,3,0,1,1,False,1.6731327722819582e-06
198,3,0,1,2,False,1.6731327722819582e-06
199,3,0,1,3,False,1.6731327722819586e-06
200,3,0,2,0,True,5.019398316845875e-06
201,3,0,2,1,False,1.6731327722819582e-06
202,3,0,2,2,False,1.6731327722819582e-06
203,3,0,2,3,False,1.6731327722819586e-06
204,3,0,3,0,True,8.596978365259012e-08
205,3,0,3,1,False,2.865659455086337e-08
206,3,0,3,2,False,2.865659455086337e-08
207,3,0,3,3,False,2.8656594550863377e-08
208,3,0,4,0,True,4.0102758665000434e-05
209,3,0,4,1,False,1.336758622166681e-05
210,3,0,4,2,False,1.336758622166681e-05
211,3,0,4,3,False,1.3367586221666814e-05
212,3,0,5,0,True,2.730712708967231e-06
213,3,0,5,1,False,9.102375696557437e-07
214,3,0,5,2,False,9.102375696557437e-07
215,3,0,5,3,False,9.102375696557438e-07
216,3,0,6,0,True,2.730712708967231e-06
217,3,0,6,1,False,9.102375696557437e-07
218,3,0,6,2,False,9.102375696557437e-07
219,3,0,6,3,False,9.102375696557438e-07
220,3,0,7,0,True,2.0924962645259878e-07
221,3,0,7,1,False,6.974987548419959e-08
222,3,0,7,2,False,6.974987548419959e-08
223,3,0,7,3,False,6.97498754841996e-08
224,3,1,0,0,False,1.4920319022551023e-05
225,3,1,0,1,False,4.973439674183674e-06
226,3,1,0,2,False,4.973439674183674e-06
227,3,1,0,3,False,4.973439674183675e-06
228,3,1,1,0,False,1.673132772281958e-07
229,3,1,1,1,False,5.57710924093986e-08
230,3,1,1,2,False,5.57710924093986e-08
231,3,1,1,3,False,5.5771092409398605e-08
232,3,1,2,0,False,1.673132772281958e-07
233,3,1,2,1,False,5.57710924093986e-08
234,3,1,2,2,False,5.57710924093986e-08
235,3,1,2,3,False,5.5771092409398605e-08
236,3,1,3,0,False,2.865659455086337e-09
237,3,1,3,1,False,9.552198183621122e-10
238,3,1,3,2,False,9.552198183621122e-10
239,3,1,3,3,False,9.552198183621124e-10
240,3,1,4,0,False,1.336758622166681e-06
241,3,1,4,1,False,4.4558620738889364e-07
242,3,1,4,2,False,4.4558620738889364e-07
243,3,1,4,3,False,4.455862073888937e-07
244,3,1,5,0,False,9.102375696557434e-08
245,3,1,5,1,False,3.0341252321858115e-08
246,3,1,5,2,False,3.0341252321858115e-08
247,3,1,5,3,False,3.034125232185812e-08
248,3,1,6,0,False,9.102375696557434e-08
249,3,1,6,1,False,3.0341252321858115e-08
250,3,1,6,2,False,3.0341252321858115e-08
251,3,1,6,3,False,3.034125232185812e-08
252,3,1,7,0,False,6.974987548419958e-09
253,3,1,7,1,False,2.3249958494733193e-09
254,3,1,7,2,False,2.3249958494733193e-09
255,3,1,7,3,False,2.3249958494733197e-09
